relevance,query,title,highlight,url,author,section,score,rank_position
0,ИИ в трейдинге,ИИ в археологии: что меня поразило больше всего,"<mark>ИИ в археологии</mark>: что меня поразило больше всего | Но недавно наткнулся на тему, о которой мы почти не говорим: <mark>ИИ в археологии</mark>. | <mark>ИИ</mark> <mark>помогает</mark>: Музей становится не складом артефактов, а комплексным опытом.",https://vc.ru/ai/2321514-iskusstvennyj-intellekt-v-arheologii-cifrovaya-revolyuciya,Антон Грачёв,ai,593.3125,1
0,ИИ в трейдинге,Вайбкодим ИИ для Excel,"Вайбкодим <mark>ИИ для Excel</mark> | Приложение показывает: Так что это не просто инструмент, а ещё и <mark>AI</mark>-<mark>репетитор</mark> по Excel.",https://vc.ru/ai/2314494-vaybkodim-ii-dlya-excel-formuli-bez-koda,Яроцкий запускает приложения,ai,593.3125,2
1,ИИ в трейдинге,ИИ как катализатор экономики,"<mark>ИИ как катализатор</mark> экономики | Если поиск перейдет к персональным <mark>ИИ</mark> <mark>агентам</mark>, доход от рекламы с использованием <mark>ИИ может резко</mark> возрасти. | ARK’s Big Ideas 2025: <mark>AI</mark> <mark>Agents</mark> Как <mark>ИИ</mark> <mark>катализирует</mark> ускорения в других областях.",https://vc.ru/future/1800913-ii-kak-katalizator-ekonomiki,Наташа Хазеева,future,593.3125,3
0,ИИ в трейдинге,Agentic AI: когда ИИ начинает действовать сам,"Agentic <mark>AI: когда ИИ</mark> <mark>начинает</mark> действовать сам | Agentic <mark>AI</mark> — <mark>это</mark> новая ступень развития <mark>искусственного интеллекта</mark>, в которой машина перестаёт быть просто исполнителем.Если традиционный <mark>AI</mark> <mark>работает</mark> “по | Агентный <mark>AI не просто</mark> отвечает, он понимает контекст, формирует цели и реализует их.",https://vc.ru/ai/2313274-agentic-ai-avtonomnye-sistemy-iskusstvennogo-intellekta,Турболого - создай лого и сайт,ai,591.1876,4
0,ИИ в трейдинге,Методология использования AI в JMH(AMBER),Методология использования <mark>AI в JMH</mark>(AMBER) | Продолжая искать интересные статейки для программистов наткнулся на интересный научный труд коллег из Италии - AMBER: <mark>AI</mark>-<mark>Enabled</mark> Java Microbenchmark Harness,https://vc.ru/dev/2242727-ispolzovanie-ai-v-jmh-metodologiya-amber,Vladimir K,dev,588.1333,5
0,ИИ в трейдинге,"KIMM: Онтологии, протоколы, AI и оркестратор","KIMM: Онтологии, протоколы, <mark>AI и оркестратор</mark> | Подключаем <mark>AI</mark>-<mark>аналитику</mark> (любой современный <mark>AI для дайджестов</mark>). Выделяем ключевые сущности (проекты, системы, подразделения). | <mark>AI и онтологии</mark> усиливают любые ошибки в исходных данных.",https://vc.ru/future/2046990-kimm-modeli-zrelosti-informacionnogo-obmena,Andrei Derenchenko,future,588.1333,6
0,ИИ в трейдинге,Искусственный интеллект: Интеллект без морали?,"<mark>Искусственный интеллект: Интеллект</mark> без морали? | <mark>интеллекта</mark> (<mark>ИИ</mark>). | <mark>Результаты</mark> экспериментов показывают, что по мере совершенствования способности <mark>ИИ к рассуждению</mark>, снижается его склонность к сотрудничеству и просоциальному",https://vc.ru/ai/2314845-iskusstvennyj-intellekt-i-vliyanie-na-sotrudnichestvo,SkyNet Mcmxcvii,ai,582.4308,7
1,ИИ в трейдинге,10 наблюдений про ИИ в маркетинге,"10 наблюдений про <mark>ИИ в маркетинге</mark> | Вижу часто: «Мы автоматизировали процесс, у нас <mark>ИИ!» Нет, ребята</mark>. Если ты сам чинишь руками всё, что пошло не так - это не <mark>ИИ</mark>, <mark>это</mark> макрос. | <mark>ИИ - не спринт</mark>, а длинная дорога. Мы все на ней новички. <mark>ИИ</mark> - не про <mark>замену</mark> человека.",https://vc.ru/ai/2315161-10-nablyudeniy-o-primeneni-ii-v-marketinge,Kravchuk,ai,581.2035,8
1,ИИ в трейдинге,Что ждет ИИ в 2025 году,"Что ждет <mark>ИИ в 2025</mark> году | <mark>Амодеи</mark> предполагает, что в будущем <mark>ИИ может стать</mark> не только методом анализа данных, но и «виртуальным биологом, который выполняет все задачи, которые выполняют | <mark>Глубокие</mark> карманы оборонной промышленности также привлекут в свои ряды <mark>ИИ</mark> <mark>компании</mark>.",https://vc.ru/future/1751049-chto-zhdet-ii-v-2025-godu,Наташа Хазеева,future,581.2035,9
0,ИИ в трейдинге,Используйте Notion AI — он реально ускоряет процесс,"Используйте Notion <mark>AI — он реально</mark> ускоряет процесс | В Notion уже давно есть свой <mark>ИИ</mark>, <mark>называется</mark> незатейливо — Notion <mark>AI</mark>. | — просто описываете, что именно хотите получить, как это должно выглядеть и для чего планируете использовать — бездушный, но исполнительный и умелый <mark>ИИ</mark>",https://vc.ru/ai/2332753-kak-notion-ai-uskorjaet-rabotu,Вадим Д.,ai,578.5092,10
