relevance,query,title,highlight,url,author,section,score,rank_position,relevance_probability
1,ИИ в трейдинге,Генеративный AI в IoT: создание контента для умных устройств,"Генеративный <mark>AI в IoT</mark>: создание контента для умных устройств | <mark>Искусственный интеллект</mark> (<mark>AI</mark>) <mark>продолжает</mark> трансформировать интернет вещей (IoT), открывая новые горизонты персонализации. | Тренд генеративного <mark>AI в IoT</mark> в 2025 году Применение генеративного <mark>AI в ритейле</mark> Необходимые компоненты Пошаговая инструкция Преимущества проекта Вызовы",https://vc.ru/ai/2323480-generativnyy-ai-v-iot-dlya-riteyla,SINARDCOM,ai,569.20166,1,0.5103074206959931
0,ИИ в трейдинге,Искусственный интеллект: Интеллект без морали?,"<mark>Искусственный интеллект: Интеллект</mark> без морали? | <mark>интеллекта</mark> (<mark>ИИ</mark>). | <mark>Результаты</mark> экспериментов показывают, что по мере совершенствования способности <mark>ИИ к рассуждению</mark>, снижается его склонность к сотрудничеству и просоциальному",https://vc.ru/ai/2314845-iskusstvennyj-intellekt-i-vliyanie-na-sotrudnichestvo,SkyNet Mcmxcvii,ai,582.4308,2,0.4996686028319591
0,ИИ в трейдинге,Прогноз развития ИИ в стиле Оруэлла,"Прогноз развития <mark>ИИ в стиле</mark> Оруэлла | <mark>ai</mark>-<mark>2027</mark>.com создан некоммерческой организацией <mark>AI</mark> <mark>Futures</mark> Project. | Технологии <mark>ИИ</mark> <mark>продолжают</mark> стремительно развиваться, привлекая масштабные <mark>инвестиции</mark> и создавая инновационные, но нестабильные <mark>ИИ</mark>-<mark>агенты</mark>.",https://vc.ru/future/1909728-prognoz-razvitiya-ii-k-2027-godu,Наташа Хазеева,future,569.58453,3,0.49883639497781124
0,ИИ в трейдинге,Вайбкодим ИИ для Excel,"Вайбкодим <mark>ИИ для Excel</mark> | Приложение показывает: Так что это не просто инструмент, а ещё и <mark>AI</mark>-<mark>репетитор</mark> по Excel.",https://vc.ru/ai/2314494-vaybkodim-ii-dlya-excel-formuli-bez-koda,Яроцкий запускает приложения,ai,593.3125,4,0.47129554004056634
0,ИИ в трейдинге,"KIMM: Онтологии, протоколы, AI и оркестратор","KIMM: Онтологии, протоколы, <mark>AI и оркестратор</mark> | Подключаем <mark>AI</mark>-<mark>аналитику</mark> (любой современный <mark>AI для дайджестов</mark>). Выделяем ключевые сущности (проекты, системы, подразделения). | <mark>AI и онтологии</mark> усиливают любые ошибки в исходных данных.",https://vc.ru/future/2046990-kimm-modeli-zrelosti-informacionnogo-obmena,Andrei Derenchenko,future,588.1333,5,0.46928985613570495
0,ИИ в трейдинге,Как превратить ИИ из исполнителя в партнёра-проектировщика.,"Как превратить <mark>ИИ из исполнителя</mark> в партнёра-проектировщика. | Заметил, что многие коллеги-методисты используют <mark>ИИ как быстрого</mark>, трудолюбивого, но не очень креативного стажёра: «Напиши 10 идей», «Сделай описание модуля | По опыту: самое ценное начинается после того, как <mark>ИИ</mark> <mark>дал</mark> первый «правильный» ответ. Я выработал правило 3 «золотых» вопросов.",https://vc.ru/ai/2333638-kak-ispolzovat-ii-v-proektirovanii-dlya-dostizheniya-tseley,Образовательный эксперимент,ai,569.58453,6,0.4683436862978305
0,ИИ в трейдинге,Новый тренд ИИ на ближайшие годы.,"Новый тренд <mark>ИИ на ближайшие</mark> годы. | На конференции ЦИПР Сергей Голицын (руководитель направления <mark>ИИ</mark>, <mark>Т1</mark>) обозначил ключевой тренд: промышленный <mark>ИИ</mark>, <mark>который</mark> становится неотъемлемой частью | Системы на базе <mark>ИИ для обработки</mark> договоров, технической документации, отчетности — от распознавания текста до извлечения смысла.",https://vc.ru/dev/2172693-trendy-ii-na-blizhaishie-gody,Мобильный трудоголик,dev,569.58453,7,0.46031011908137087
0,ИИ в трейдинге,10 наблюдений про ИИ в маркетинге,"10 наблюдений про <mark>ИИ в маркетинге</mark> | Вижу часто: «Мы автоматизировали процесс, у нас <mark>ИИ!» Нет, ребята</mark>. Если ты сам чинишь руками всё, что пошло не так - это не <mark>ИИ</mark>, <mark>это</mark> макрос. | <mark>ИИ - не спринт</mark>, а длинная дорога. Мы все на ней новички. <mark>ИИ</mark> - не про <mark>замену</mark> человека.",https://vc.ru/ai/2315161-10-nablyudeniy-o-primeneni-ii-v-marketinge,Kravchuk,ai,581.2035,8,0.45882638128126146
0,ИИ в трейдинге,ИИ в археологии: что меня поразило больше всего,"<mark>ИИ в археологии</mark>: что меня поразило больше всего | Но недавно наткнулся на тему, о которой мы почти не говорим: <mark>ИИ в археологии</mark>. | <mark>ИИ</mark> <mark>помогает</mark>: Музей становится не складом артефактов, а комплексным опытом.",https://vc.ru/ai/2321514-iskusstvennyj-intellekt-v-arheologii-cifrovaya-revolyuciya,Антон Грачёв,ai,593.3125,9,0.45650793930805483
0,ИИ в трейдинге,Что будет после ИИ? О четвёртой и пятой волне по Тоффлеру,"Что будет после <mark>ИИ? О четвёртой</mark> и пятой волне по Тоффлеру | <mark>ИИ не просто</mark> ассистент, а автономный агент, способный принимать решения. Геном редактируется, биохимия оптимизируется, старение — тормозится. | Взаимодействие между людьми и <mark>ИИ будет настолько</mark> глубоко интегрировано, что исчезнет грань между биологическим и цифровым разумом.",https://vc.ru/future/2093469-chetvyortaya-i-pyataya-volny-po-toffleru,Павел Сайк,future,569.58453,10,0.45011105719783373
