relevance,query,title,highlight,url,author,section,score,rank_position
0,ИИ в трейдинге,Agentic AI: когда ИИ начинает действовать сам,"Agentic <mark>AI</mark>: когда <mark>ИИ</mark> <mark>начинает</mark> действовать сам | Agentic <mark>AI — это</mark> новая ступень развития <mark>искусственного интеллекта</mark>, в которой машина перестаёт быть просто исполнителем.Если традиционный <mark>AI работает</mark> “по | запросу”, то агентный <mark>AI действует</mark> по намерению.",https://vc.ru/ai/2313274-agentic-ai-avtonomnye-sistemy-iskusstvennogo-intellekta,Турболого - создай лого и сайт,ai,32.771156,1
0,ИИ в трейдинге,"«ИИ вас не заменит. Но тот, кто использует ИИ, — заменит».","«<mark>ИИ</mark> вас не <mark>заменит</mark>. Но тот, кто использует <mark>ИИ</mark>, — <mark>заменит</mark>». | Но <mark>ИИ может показать</mark> клиенту эту террасу ДО того, как вы забьёте первый гвоздь. Но вы можете использовать <mark>ИИ как молоток</mark>, а не как бога. | Ваши конкуренты используют <mark>ИИ, чтобы кричать</mark> громче.Вы можете использовать <mark>ИИ, чтобы говорить</mark> точнее.",https://vc.ru/ai/2310989-kak-ii-pomogaet-stroiteljam-ne-ustaret-i-ostavat-sja-masterami,Дмитрий Александрович,ai,32.68434,2
1,ИИ в трейдинге,Искусственный интеллект в трейдинге: как AI-сигналы меняют торговлю,<mark>Искусственный интеллект</mark> в <mark>трейдинге</mark>: как <mark>AI</mark>-<mark>сигналы</mark> меняют торговлю | <mark>ИИ. </mark> | Что такое <mark>AI-сигналы</mark> и автоматические ассистенты Теоретические аспекты использования <mark>ИИ в трейдинге</mark> Практические способы применения <mark>AI-сигналов</mark> Настройки,https://vc.ru/crypto/2308518-iskusstvennyj-intellekt-v-trejdinge-ai-signaly,Криптариум,crypto,32.478043,3
0,ИИ в трейдинге,Искусственный интеллект: Интеллект без морали?,"<mark>Искусственный интеллект</mark>: <mark>Интеллект</mark> без морали? | <mark>интеллекта</mark> (<mark>ИИ). </mark> | В этих играх участники, включая <mark>ИИ-модели</mark>, должны были принимать решения, влияющие на общее благо.",https://vc.ru/ai/2314845-iskusstvennyj-intellekt-i-vliyanie-na-sotrudnichestvo,SkyNet Mcmxcvii,ai,31.47392,4
0,ИИ в трейдинге,Доктор AI-болит. Как искусственный интеллект завоевывает доверие пациентов,"Доктор <mark>AI</mark>-<mark>болит</mark>. Как <mark>искусственный интеллект</mark> завоевывает доверие пациентов | Но когда врач говорит: «Это решение подсказал <mark>искусственный интеллект</mark>», большинство пациентов напрягаются. Доверие к <mark>ИИ растет</mark> медленно. | А вот Азия принимает <mark>ИИ в медицине</mark> быстрее Запада.",https://vc.ru/future/2278575-iskusstvennyi-intellekt-v-medicine,МедТех Лаборатория,future,31.437496,5
0,ИИ в трейдинге,"ИИ — это просто. Как искусственный интеллект уже работает в вашей жизни, даже если вы этого не замечаете.","<mark>ИИ</mark> — <mark>это</mark> просто. Как <mark>искусственный интеллект</mark> уже работает в вашей жизни, даже если вы этого не замечаете. | Учёные делят <mark>ИИ на две</mark> основных категории: 1. «Слабый <mark>ИИ» (Narrow AI). Это</mark> 99% всего, что называют <mark>ИИ сегодня. </mark> | Почему все говорят об <mark>ИИ прямо</mark> сейчас?",https://vc.ru/ai/2315197-iskusstvennyj-intellekt-v-povsednevnoy-zhizni,Yaroslav Kiryanov,ai,31.333153,6
1,ИИ в трейдинге,Искусственный интеллект в логистике,"<mark>Искусственный интеллект</mark> в логистике | В эпоху цифровой трансформации <mark>искусственный интеллект (ИИ) становится</mark> ключевым фактором, определяющим конкурентоспособность в самых разных отраслях. | Как происходит внедрение <mark>ИИ в логистике</mark>? Как логистические компании пользуются <mark>ИИ? Плюсы</mark> и минусы внедрения <mark>ИИ в логистику</mark>: Заключение:",https://vc.ru/chatgpt/1993858-iskusstvennyj-intellekt-v-logistike,Бажеш,chatgpt,31.32783,7
1,ИИ в трейдинге,ИИ как катализатор экономики,<mark>ИИ</mark> как <mark>катализатор</mark> экономики | 🙏 Достижения в области <mark>искусственного интеллекта</mark> должны открыть огромные рыночные возможности.ARK’s Big Ideas 2025: <mark>AI Agents Стадии развития ИИ агентов</mark> | ARK’s Big Ideas 2025: <mark>AI Agents Как ИИ катализирует</mark> ускорения в других областях.,https://vc.ru/future/1800913-ii-kak-katalizator-ekonomiki,Наташа Хазеева,future,31.278812,8
0,ИИ в трейдинге,Hailuo AI Minimax: Руководство по созданию видео с помощью ИИ,"Hailuo <mark>AI</mark> <mark>Minimax</mark>: Руководство по созданию видео с помощью <mark>ИИ</mark> | Узнайте, как Hailuo <mark>AI Minimax</mark> революционизирует создание видео с помощью <mark>ИИ. </mark> | Что делает Hailuo <mark>AI уникальным</mark>? Как пользоваться Hailuo <mark>AI Перспективы Hailuo AI t.meРоман</mark> про Маркетинг 🧠 GPT. Нейросети",https://vc.ru/midjourney/1596710-hailuo-ai-minimax-rukovodstvo-po-sozdaniyu-video-s-pomoshyu-ii,Роман Шарафутдинов,midjourney,31.227612,9
0,ИИ в трейдинге,Vanna AI vs Wren AI: как выбрать Text2SQL-инструмент для своей компании,"Vanna <mark>AI</mark> <mark>vs</mark> Wren <mark>AI</mark>: как <mark>выбрать</mark> Text2SQL-инструмент для своей компании | Сегодня на рынке есть несколько решений, но два из них часто становятся фаворитами: Vanna <mark>AI и Wren</mark> <mark>AI. </mark> | Советы по внедрению Обзор: Vanna <mark>AI и Wren</mark> <mark>AI Выбирайте</mark> Wren <mark>AI, если: Выбирайте</mark> Vanna <mark>AI</mark>, если:",https://vc.ru/dev/2261662-vanna-ai-i-wren-ai-kak-vybrat-luchshij-text2sql-instrument,Andrey Shalitkin,dev,31.191875,10
